x	y	rent
-0.14559	-9.21554	3557.25137
-5.37440	7.45029	763.90795
9.17073	3.92623	837.73273
1.24775	-0.83082	1115.19552
-5.32194	-1.18667	791.70187
1.30478	4.11809	782.12335
7.89301	-0.42529	745.18978
4.73826	-7.37832	900.19318
8.52745	9.79906	781.75362
9.37192	9.46553	783.66007
-7.32630	-8.94040	690.83636
-2.09928	-3.07047	712.36044
-1.32516	-2.88439	793.93813
-6.77832	5.62093	764.39002
-2.17581	-8.57813	772.26099
0.70357	-2.17443	1564.86727
-0.00413	-7.05428	10817.82837
-6.81653	-5.45190	732.72452
8.01403	-4.32398	830.01343
9.62177	-6.47088	770.42583
7.58878	0.60407	810.94932
-4.83605	2.68969	802.90563
7.15755	-6.55941	838.74513
6.65250	-0.63585	794.67555
-0.21437	8.39561	786.15635
5.22748	2.94731	963.09142
-3.18602	-7.12240	859.35791
-9.91403	-9.35320	779.92614
7.17638	-6.82157	800.46081
5.98518	7.35548	722.15159
-0.52876	7.34590	810.39967
-3.73398	7.91935	790.18079
-5.55411	-1.39128	814.98361
-8.90678	9.47331	755.11172
-9.07056	-0.75089	803.04971
-1.32697	-7.10910	1084.82610
2.57498	-9.31140	754.87220
2.75064	5.15362	2544.83311
-7.90811	4.73949	785.78295
-4.47528	-1.47781	809.34891
-2.37109	-0.76583	881.42070
-8.81956	0.54703	892.83373
2.49279	-4.42945	1054.99042
-9.99859	-3.32888	793.94378
4.95994	4.71079	2859.75930
5.84406	-5.67569	949.90978
-0.92928	1.11860	809.14887
5.60944	-5.30102	863.51567
3.58912	1.40047	707.80900
-2.11452	8.16475	862.01834
-5.59464	-2.74820	737.92974
2.66659	-2.10372	781.11603
-3.91564	8.43790	735.59127
4.78821	3.90062	950.42882
-2.41551	4.56031	774.13519
2.41704	-3.36655	837.24398
9.60076	-7.07334	744.72377
2.16601	5.66879	1320.65938
2.11664	-9.03308	843.91975
8.59874	0.29526	714.91015
2.04700	0.51780	762.77239
4.19240	8.63631	790.35010
-4.84801	2.00232	867.15347
8.87973	6.91595	738.85251
-5.12563	2.70090	848.24707
-8.54105	-3.33006	707.54504
-9.15236	-0.01569	765.27137
9.75775	-8.62681	704.77952
6.99441	-9.01443	816.39380
-4.62141	-8.91560	768.55041
4.04357	-1.13808	776.26902
-1.49631	3.76334	807.02947
-9.95307	-0.16740	741.17758
3.65723	-9.56395	719.08024
7.19960	-4.98978	2161.69089
-8.50577	-3.90715	741.56767
4.37107	1.38501	737.59996
3.82658	8.45740	748.82364
-9.27197	-4.30307	783.01057
7.40101	7.55333	786.69579
-3.49728	2.87796	814.34823
-0.32418	1.14910	779.27134
-2.46820	-8.68301	755.01203
-0.24203	8.46948	779.90943
7.81729	9.61670	720.48838
0.71602	-6.80054	1638.90787
5.67689	1.09945	803.23513
-3.37300	-6.70214	899.16188
2.95459	-1.45695	770.61704
-2.96969	-9.32478	733.50028
0.10670	-4.09659	822.40458
4.33555	1.18939	745.13268
-6.72214	-0.80138	884.16746
9.95373	-4.40542	692.79192
0.83507	2.70105	762.51443
-7.06025	5.99141	765.81116
-3.02107	3.19447	762.00141
0.13658	4.30280	957.54816
7.24464	-2.26977	729.41973
-8.57763	-7.49752	853.01080
-0.52293	-8.52421	1328.98539
-7.59114	-8.26820	715.08093
1.80394	5.20813	1218.17000
-7.10768	-9.44340	760.55971
-6.55003	6.39237	734.92554
9.48816	7.09939	753.90522
-9.37243	-1.35678	710.09821
-7.03589	4.80234	742.59973
0.49547	-4.85762	817.45935
-4.60521	-6.47845	896.49316
-0.72927	-3.11388	812.16277
1.08337	-4.85547	852.09312
3.80534	1.18306	763.44480
0.84432	3.60621	756.56224
7.09432	3.36062	992.31463
2.32730	9.97011	783.01084
8.93040	5.63806	911.11759
6.27172	-5.25074	918.18869
-3.66655	-3.44342	769.21161
-3.72445	5.96732	789.07667
4.75774	-6.27690	1554.91400
-4.60358	7.34453	739.23938
-0.75116	0.03470	977.89266
2.33850	9.06662	790.04639
-3.81421	6.51330	751.29286
7.28492	-5.52987	1216.75481
-2.04031	1.78916	732.88117
9.75996	5.44257	793.24034
-4.31493	0.44033	870.48520
-8.62015	7.36919	787.24256
-5.45601	4.84158	806.25699
-5.31105	-0.92280	847.59167
5.74377	6.08390	793.06859
-7.71068	1.07886	2147.39102
-6.08056	4.81492	756.25000
-4.54542	-3.14397	692.52067
-0.73669	0.28467	906.32179
-2.58710	-9.71661	799.87485
1.05758	6.95216	14554.33028
-2.97881	-4.37366	835.60975
-7.88516	7.24548	947.87216
7.57781	-0.81674	733.08407
1.25955	-7.33222	909.44446
8.45740	-9.74150	826.17984
-9.45574	-7.20294	791.86627
4.26982	-5.46139	878.55969
7.61596	5.41639	793.93569
4.16192	0.32851	691.17564
-1.54282	9.17842	812.22051
-1.47666	-2.35407	801.74093
8.23228	-6.47074	756.16909
2.70076	0.23566	783.49528
0.51016	-3.16515	807.06600
3.34486	-4.36436	864.48797
-9.90363	4.79114	774.88565
1.29148	-5.19377	974.98544
0.29535	6.23967	1203.29233
8.91475	6.39595	814.21975
5.32202	6.29842	807.45133
-8.53516	-0.37804	826.09654
4.71462	7.72099	749.77240
-7.87056	-0.76578	842.64051
1.66336	6.23935	1167.23600
4.38414	-3.05911	744.85377
1.08189	9.31376	822.57031
-5.91785	-8.52599	822.31115
0.50236	-1.26991	1475.20378
2.51101	9.74937	793.99237
6.72775	-8.44231	694.84173
4.02137	6.24321	751.31875
-9.25928	9.00274	717.24490
0.24607	-6.39184	3378.89686
9.25970	-6.62715	784.21717
-5.21078	0.38103	1472.60812
3.67993	2.55136	767.67913
0.39552	0.66861	972.61179
-5.19754	2.63725	782.64161
3.44636	9.38265	708.09828
9.91016	-4.91620	765.43899
1.23089	-9.73274	828.88928
9.27522	-7.07815	764.49263
1.77816	3.41414	823.33639
2.63879	7.73800	761.44819
-9.33882	-6.43941	762.80412
-6.13604	-8.09011	717.74054
3.05018	-9.82757	773.09959
9.66592	-9.44028	776.63815
-3.52314	1.86620	786.74062
2.06671	3.19025	788.62377
1.95127	6.00615	1150.68680
5.62136	-6.91960	1080.03048
1.06947	1.29058	825.96619
-7.35378	7.19419	1222.04387
4.45603	8.52075	730.16953
-1.25862	-0.32852	817.58222
-7.82668	-2.51272	738.34640
-7.56426	1.67386	1030.65769
7.18578	-1.41438	714.01350
-5.91072	9.89558	730.57774
-1.84249	-4.90127	837.93021
7.95622	-9.41323	749.88961
-4.02231	-7.67427	874.16952
-2.28596	1.61103	756.77266
-5.65271	-6.47192	799.66062
5.82889	7.33070	766.60203
1.07165	-0.24039	1120.74515
-2.49781	6.43837	783.16748
-7.92828	0.33980	1245.39821
0.94241	-3.99542	835.74354
5.56996	-3.39731	763.72097
-7.86178	1.53724	1287.67747
-4.93687	-4.07878	724.90920
-2.35632	9.36269	777.27157
2.83540	3.18139	862.26056
-5.32830	-1.64230	793.91089
6.38094	1.17904	734.33256
-9.82349	3.24133	750.77461
1.81703	8.24641	831.80130
7.73503	-6.00561	890.99460
-4.61434	-5.03656	783.79932
-7.83706	-6.98367	771.15321
-6.19581	-0.23631	2777.89905
-4.33718	-7.43844	1108.87221
-6.18005	5.98020	760.31868
7.58975	1.20330	787.92200
2.31659	-5.77086	1125.79676
-6.47303	7.25874	743.08465
0.83141	6.80308	2770.02096
6.48658	6.92905	742.23097
-3.79532	3.33554	764.53018
2.54542	-5.96831	1089.15264
1.71924	-6.58548	836.82226
1.49358	-4.95272	1003.46661
-2.68380	-3.62800	801.63480
8.71858	-3.66400	792.37945
-1.78485	-5.16002	836.73045
-4.26710	-9.89920	778.66613
-5.69484	0.74845	1057.36556
7.84637	4.23582	886.75894
6.82913	9.74272	743.69907
-4.68371	1.98585	857.84822
-3.38578	-6.80332	867.16459
-0.13205	4.14026	848.82148
-0.97483	6.99731	832.88059
-8.83740	-2.82787	776.98337
4.83138	-5.68591	927.80534
9.38992	-3.46389	793.02555
-5.92481	-6.73734	801.33855
-1.76193	8.89651	813.42314
4.72147	-5.92852	1048.58282
9.61247	-5.88630	758.12532
-9.04688	2.08998	726.85867
-9.41905	1.46260	791.53209
0.59578	-0.65837	1462.16247
5.84802	4.69111	1168.51758
-6.25912	9.82905	740.94272
3.53174	-4.67254	924.22217
-2.46391	6.88983	968.06531
-1.91139	3.98492	733.42323
3.17752	-5.51685	1057.88757
-9.70006	-4.82221	745.83718
6.44822	-7.30518	790.25628
2.27781	9.20023	712.37389
5.75812	3.94573	1181.08647
8.06525	1.55304	750.79102
9.35517	9.69292	778.30329
-1.64412	0.35426	855.39117
-9.22034	6.79966	794.76388
-7.08090	-4.03100	718.97575
2.65503	-4.69859	1744.42916
-9.87975	-0.07663	774.63794
-0.19681	-6.08272	4926.06167
-8.10928	7.28342	853.96114
6.82805	-5.50910	1022.42977
-6.16703	-3.12636	733.41314
-1.06580	-2.34742	756.21055
-1.43151	-6.20814	931.99492
6.16367	2.37609	1027.84572
-6.74808	1.91173	1117.05017
-4.75816	5.85968	724.97205
5.05552	0.44779	800.50292
-5.75653	-5.74261	806.36975
9.65646	9.80812	758.23197
4.34854	1.17363	815.13879
5.96459	1.25270	775.44627
2.93476	-1.59076	804.14813
-8.11897	4.20040	756.70403
4.54470	-2.48618	755.89189
-9.90028	4.02057	759.36371
-7.31575	-5.22178	779.83933
-8.68310	-9.19584	754.62366
5.83674	-0.08017	793.00287
-6.91363	-4.97782	788.67399
-5.02871	-5.01664	755.42168
9.99724	-0.26440	741.36510
0.68197	7.62558	1036.87159
-0.08583	5.25991	3633.07865
4.35027	-5.99794	1049.88138
1.69131	1.40161	748.50078
-1.95448	8.83825	807.36376
3.64192	3.87212	768.47919
-3.46036	0.28639	786.79274
-2.25579	0.86308	790.50314
2.81138	-1.20167	790.05525
1.67014	9.55257	739.80934
3.65127	-2.34020	729.42451
-9.72592	-7.51952	810.10878
-0.12665	-7.09283	11886.61801
7.12818	-4.03163	787.55663
-3.12573	1.66666	838.15763
2.34084	5.44139	1793.66143
-9.86385	8.88947	735.01728
7.56574	9.20334	793.75340
-3.67101	9.13096	762.53903
-6.67856	9.74937	737.48079
